name,move_sec,length,speed_kmh,move_to_ts_name,self_ts_name,self_busy_sec
НАП,40,376.0,33.84,1-9СП(к),НАП(к),1600229637
1-9СП(1+;3+;9+),224,146.0,2.34643,2АП(к),1-9СП(к),1600229677
4СП(4+),30,332.0,39.84,Ч1УП,4СП(к),1600230107
1-9СП(1+;3+;9-),39,146.0,13.4769,НАП(к),1-9СП(к),1600230231
НАП,53,376.0,25.5396,Н1ИП,НАП(к),1600230270
4СП(4+),14,332.0,85.3714,6-14СП(к),4СП(к),1600232838
4СП(4+),20,332.0,59.76,6-14СП(к),4СП(к),1600234671
1-9СП(1+;3+;9+),11,146.0,47.7818,НАП(к),1-9СП(к),1600234776
НАП,29,376.0,46.6759,Н1ИП,НАП(к),1600234787
4СП(4+),23,332.0,51.9652,6-14СП(к),4СП(к),1600235696
1-9СП(1+;3+;9+),10,146.0,52.56,НАП(к),1-9СП(к),1600235799
НАП,29,376.0,46.6759,Н1ИП,НАП(к),1600235809
4СП(4+),21,332.0,56.9143,6-14СП(к),4СП(к),1600237202
1-9СП(1+;3+;9+),9,146.0,58.4,НАП(к),1-9СП(к),1600237296
1-9СП(1+;3+;9+),9,146.0,58.4,НАП(к),1-9СП(к),1600239548
НАП,27,376.0,50.1333,Н1ИП,НАП(к),1600239557
4СП(4+),29,332.0,41.2138,6-14СП(к),4СП(к),1600240475
ЧДП,35,223.0,22.9371,2-8СП(к),ЧДП(к),1600243528
4СП(4+),19,332.0,62.9053,6-14СП(к),4СП(к),1600243809
1-9СП(1+;3+;9+),16,146.0,32.85,НАП(к),1-9СП(к),1600244201
4СП(4+),22,332.0,54.3273,6-14СП(к),4СП(к),1600245064
1-9СП(1+;3+;9+),11,146.0,47.7818,НАП(к),1-9СП(к),1600245446
4СП(4+),18,332.0,66.4,6-14СП(к),4СП(к),1600247626
1-9СП(1+;3+;9+),9,146.0,58.4,НАП(к),1-9СП(к),1600247706
ЧДП,29,223.0,27.6828,2-8СП(к),ЧДП(к),1600248970
НАП,27,376.0,50.1333,1-9СП(к),НАП(к),1600249283
1-9СП(1+;3+;9+),13,146.0,40.4308,2АП(к),1-9СП(к),1600249310
4СП(4+),24,332.0,49.8,Ч1УП,4СП(к),1600249420
1-9СП(1+;3+;9-),35,146.0,15.0171,НАП(к),1-9СП(к),1600249542
НАП,57,376.0,23.7474,Н1ИП,НАП(к),1600249577
НАП,23,376.0,58.8522,1-9СП(к),НАП(к),1600254036
1-9СП(1+;3+;9+),8,146.0,65.7,2АП(к),1-9СП(к),1600254059
4СП(4+),19,332.0,62.9053,Ч1УП,4СП(к),1600254145
4СП(4+),69,332.0,17.3217,Ч1УП,4СП(к),1600254720
ЧДП,29,223.0,27.6828,2-8СП(к),ЧДП(к),1600255682
НАП,30,376.0,45.12,1-9СП(к),НАП(к),1600256084
1-9СП(1+;3+;9-),12,146.0,43.8,3АП(к),1-9СП(к),1600256114
ЧДП,17,223.0,47.2235,ЧД1УП,ЧДП(к),1600256230
4СП(4+),25,332.0,47.808,6-14СП(к),4СП(к),1600257461
1-9СП(1+;3+;9+),10,146.0,52.56,НАП(к),1-9СП(к),1600257567
НАП,30,376.0,45.12,Н1ИП,НАП(к),1600257577
4СП(4+),19,332.0,62.9053,6-14СП(к),4СП(к),1600258345
1-9СП(1+;3+;9+),10,146.0,52.56,НАП(к),1-9СП(к),1600258440
НАП,30,376.0,45.12,Н1ИП,НАП(к),1600258450
НАП,341,376.0,3.9695,1-9СП(к),НАП(к),1600259828
4СП(4+),27,332.0,44.2667,6-14СП(к),4СП(к),1600261894
1-9СП(1+;3+;9+),11,146.0,47.7818,НАП(к),1-9СП(к),1600262007
НАП,28,376.0,48.3429,Н1ИП,НАП(к),1600262018
НАП,20,376.0,67.68,1-9СП(к),НАП(к),1600263733
1-9СП(1+;3+;9+),8,146.0,65.7,2АП(к),1-9СП(к),1600263753
4СП(4+),17,332.0,70.3059,Ч1УП,4СП(к),1600263838
ЧДП,18,223.0,44.6,2-8СП(к),ЧДП(к),1600264602
1-9СП(1+;3+;9-),12,146.0,43.8,НАП(к),1-9СП(к),1600264715
НАП,33,376.0,41.0182,Н1ИП,НАП(к),1600264727
НАП,24,376.0,56.4,1-9СП(к),НАП(к),1600267518
1-9СП(1+;3+;9+),11,146.0,47.7818,2АП(к),1-9СП(к),1600267542
4СП(4+),21,332.0,56.9143,Ч1УП,4СП(к),1600267639
НАП,24,376.0,56.4,1-9СП(к),НАП(к),1600267962
1-9СП(1+;3+;9+),9,146.0,58.4,2АП(к),1-9СП(к),1600267986
4СП(4+),22,332.0,54.3273,Ч1УП,4СП(к),1600268078
ЧДП,17,223.0,47.2235,2-8СП(к),ЧДП(к),1600268262
1-9СП(1+;3+;9-),12,146.0,43.8,НАП(к),1-9СП(к),1600268389
НАП,35,376.0,38.6743,Н1ИП,НАП(к),1600268401
НАП,24,376.0,56.4,1-9СП(к),НАП(к),1600270123
1-9СП(1+;3+;9+),12,146.0,43.8,2АП(к),1-9СП(к),1600270147
4СП(4+),22,332.0,54.3273,Ч1УП,4СП(к),1600270244
ЧДП,18,223.0,44.6,2-8СП(к),ЧДП(к),1600270905
1-9СП(1+;3+;9-),9,146.0,58.4,НАП(к),1-9СП(к),1600271025
НАП,32,376.0,42.3,Н1ИП,НАП(к),1600271034
4СП(4+),22,332.0,54.3273,6-14СП(к),4СП(к),1600273463
1-9СП(1+;3+;9+),10,146.0,52.56,НАП(к),1-9СП(к),1600273569
НАП,29,376.0,46.6759,Н1ИП,НАП(к),1600273579
НАП,64,376.0,21.15,1-9СП(к),НАП(к),1600275014
1-9СП(1+;3+;9+),30,146.0,17.52,2АП(к),1-9СП(к),1600275078
ЧДП,22,223.0,36.4909,2-8СП(к),ЧДП(к),1600275119
4СП(4+),25,332.0,47.808,6-14СП(к),4СП(к),1600275734
1-9СП(1+;3+;9-),38,146.0,13.8316,НАП(к),1-9СП(к),1600276323
НАП,63,376.0,21.4857,Н1ИП,НАП(к),1600276361
ЧДП,33,223.0,24.3273,2-8СП(к),ЧДП(к),1600277045
НАП,24,376.0,56.4,1-9СП(к),НАП(к),1600278002
НАП,35,376.0,38.6743,1-9СП(к),НАП(к),1600279087
1-9СП(1+;3-),7,108.0,55.5429,5-13СП(к),1-9СП(к),1600279122
1-9СП(1-),11,39.0,12.7636,НАП(к),1-9СП(к),1600279412
НАП,61,376.0,22.1902,Н1ИП,НАП(к),1600279423
НАП,23,376.0,58.8522,1-9СП(к),НАП(к),1600281162
1-9СП(1+;3+;9+),9,146.0,58.4,2АП(к),1-9СП(к),1600281185
4СП(4+),22,332.0,54.3273,Ч1УП,4СП(к),1600281275
ЧДП,20,223.0,40.14,2-8СП(к),ЧДП(к),1600282389
1-9СП(1+;3+;9-),14,146.0,37.5429,НАП(к),1-9СП(к),1600282516
НАП,33,376.0,41.0182,Н1ИП,НАП(к),1600282530
НАП,26,376.0,52.0615,1-9СП(к),НАП(к),1600284203
1-9СП(1+;3+;9+),11,146.0,47.7818,2АП(к),1-9СП(к),1600284229
4СП(4+),24,332.0,49.8,Ч1УП,4СП(к),1600284331
ЧДП,28,223.0,28.6714,2-8СП(к),ЧДП(к),1600285463
НАП,28,376.0,48.3429,1-9СП(к),НАП(к),1600285896
1-9СП(1+;3+;9+),8,146.0,65.7,2АП(к),1-9СП(к),1600285924
4СП(4+),24,332.0,49.8,Ч1УП,4СП(к),1600286021
1-9СП(1+;3+;9-),39,146.0,13.4769,НАП(к),1-9СП(к),1600286353
НАП,61,376.0,22.1902,Н1ИП,НАП(к),1600286392
ЧДП,27,223.0,29.7333,2-8СП(к),ЧДП(к),1600287854
НАП,37,376.0,36.5838,1-9СП(к),НАП(к),1600288008
1-9СП(1+;3+;9+),23,146.0,22.8522,2АП(к),1-9СП(к),1600288045
1-9СП(1+;3+;9-),32,146.0,16.425,НАП(к),1-9СП(к),1600288496
НАП,59,376.0,22.9424,Н1ИП,НАП(к),1600288528
4СП(4+),70,332.0,17.0743,Ч1УП,4СП(к),1600288885
ЧДП,17,223.0,47.2235,2-8СП(к),ЧДП(к),1600289904
1-9СП(1+;3+;9-),12,146.0,43.8,НАП(к),1-9СП(к),1600290025
НАП,33,376.0,41.0182,Н1ИП,НАП(к),1600290037
НАП,25,376.0,54.144,1-9СП(к),НАП(к),1600295804
1-9СП(1+;3+;9-),12,146.0,43.8,3АП(к),1-9СП(к),1600295829
ЧДП,18,223.0,44.6,ЧД1УП,ЧДП(к),1600295948
4СП(4+),24,332.0,49.8,6-14СП(к),4СП(к),1600297459
1-9СП(1+;3+;9+),11,146.0,47.7818,НАП(к),1-9СП(к),1600297569
НАП,30,376.0,45.12,Н1ИП,НАП(к),1600297580
НАП,31,376.0,43.6645,1-9СП(к),НАП(к),1600299350
1-9СП(1+;3+;9+),15,146.0,35.04,2АП(к),1-9СП(к),1600299381
НАП,37,376.0,36.5838,1-9СП(к),НАП(к),1600299837
1-9СП(1+;3-),10,108.0,38.88,5-13СП(к),1-9СП(к),1600299874
ЧДП,28,223.0,28.6714,2-8СП(к),ЧДП(к),1600299999
4СП(4+),35,332.0,34.1486,Ч1УП,4СП(к),1600300265
НАП,36,376.0,37.6,1-9СП(к),НАП(к),1600300848
1-9СП(1+;3-),10,108.0,38.88,5-13СП(к),1-9СП(к),1600300884
4СП(4+),34,332.0,35.1529,Ч1УП,4СП(к),1600301023
4СП(4+),71,332.0,16.8338,Ч1УП,4СП(к),1600301493
НАП,25,376.0,54.144,1-9СП(к),НАП(к),1600305068
1-9СП(1+;3+;9+),12,146.0,43.8,2АП(к),1-9СП(к),1600305093
4СП(4+),20,332.0,59.76,Ч1УП,4СП(к),1600305195
ЧДП,28,223.0,28.6714,2-8СП(к),ЧДП(к),1600306587
НАП,21,376.0,64.4571,1-9СП(к),НАП(к),1600307367
1-9СП(1+;3+;9+),9,146.0,58.4,2АП(к),1-9СП(к),1600307388
1-9СП(1+;3+;9-),14,146.0,37.5429,НАП(к),1-9СП(к),1600307669
НАП,40,376.0,33.84,Н1ИП,НАП(к),1600307683
4СП(4+),18,332.0,66.4,6-14СП(к),4СП(к),1600309722
1-9СП(1+;3+;9+),7,146.0,75.0857,НАП(к),1-9СП(к),1600309801
4СП(4+),24,332.0,49.8,6-14СП(к),4СП(к),1600311892
1-9СП(1+;3+;9+),11,146.0,47.7818,НАП(к),1-9СП(к),1600312002
НАП,29,376.0,46.6759,Н1ИП,НАП(к),1600312013
4СП(4+),26,332.0,45.9692,6-14СП(к),4СП(к),1600312649
