name,move_sec,length,speed_kmh,move_to_ts_name,self_ts_name,self_busy_sec
НАП(на_3П),36,376.0,37.6,1-9СП(к),НАП(к),1601397409
НАП(на_2П),58,376.0,23.3379,1-9СП(к),НАП(к),1601398544
НАП(на_2П),51,376.0,26.5412,1-9СП(к),НАП(к),1601401511
НАП(на_1П),33,376.0,41.0182,1-9СП(к),НАП(к),1601402250
НАП(на_2П),68,376.0,19.9059,1-9СП(к),НАП(к),1601405483
НАП(на_2П),25,376.0,54.144,1-9СП(к),НАП(к),1601406082
НАП(на_2П),23,376.0,58.8522,1-9СП(к),НАП(к),1601410761
НАП(на_2П),20,376.0,67.68,1-9СП(к),НАП(к),1601411253
НАП(на_2П),24,376.0,56.4,1-9СП(к),НАП(к),1601422757
НАП(на_2П),31,376.0,43.6645,1-9СП(к),НАП(к),1601424087
НАП(на_1П),55,376.0,24.6109,1-9СП(к),НАП(к),1601424811
НАП(на_2П),19,376.0,71.2421,1-9СП(к),НАП(к),1601429881
НАП(на_2П),18,376.0,75.2,1-9СП(к),НАП(к),1601430820
НАП(на_3П),38,376.0,35.6211,1-9СП(к),НАП(к),1601433720
НАП(на_2П),24,376.0,56.4,1-9СП(к),НАП(к),1601437280
НАП(на_1П),39,376.0,34.7077,1-9СП(к),НАП(к),1601438622
НАП(на_2П),41,376.0,33.0146,1-9СП(к),НАП(к),1601441675
НАП(на_1П),37,376.0,36.5838,1-9СП(к),НАП(к),1601442487
НАП(на_3П),30,376.0,45.12,1-9СП(к),НАП(к),1601446090
НАП(на_2П),24,376.0,56.4,1-9СП(к),НАП(к),1601448309
НАП(на_2П),23,376.0,58.8522,1-9СП(к),НАП(к),1601449677
НАП(на_3П),32,376.0,42.3,1-9СП(к),НАП(к),1601457199
НАП(на_2П),37,376.0,36.5838,1-9СП(к),НАП(к),1601464809
НАП(на_2П),27,376.0,50.1333,1-9СП(к),НАП(к),1601465682
НАП(на_2П),18,376.0,75.2,1-9СП(к),НАП(к),1601467097
НАП(на_2П),27,376.0,50.1333,1-9СП(к),НАП(к),1601473095
НАП(на_2П),41,376.0,33.0146,1-9СП(к),НАП(к),1601473534
НАП(на_3П),31,376.0,43.6645,1-9СП(к),НАП(к),1601480570
НАП(на_2П),28,376.0,48.3429,1-9СП(к),НАП(к),1601483738
НАП(на_2П),61,376.0,22.1902,1-9СП(к),НАП(к),1601484725
НАП(на_1П),40,376.0,33.84,1-9СП(к),НАП(к),1601488673
НАП(на_2П),44,376.0,30.7636,1-9СП(к),НАП(к),1601490533
НАП(на_1П),42,376.0,32.2286,1-9СП(к),НАП(к),1601491439
НАП(на_2П),30,376.0,45.12,1-9СП(к),НАП(к),1601492152
НАП(на_2П),27,376.0,50.1333,1-9СП(к),НАП(к),1601492775
НАП(на_2П),47,376.0,28.8,1-9СП(к),НАП(к),1601495151
НАП(на_2П),31,376.0,43.6645,1-9СП(к),НАП(к),1601503050
НАП(на_2П),24,376.0,56.4,1-9СП(к),НАП(к),1601506034
НАП(на_2П),24,376.0,56.4,1-9СП(к),НАП(к),1601506727
НАП(на_2П),22,376.0,61.5273,1-9СП(к),НАП(к),1601508647
НАП(на_2П),19,376.0,71.2421,1-9СП(к),НАП(к),1601510343
НАП(на_2П),25,376.0,54.144,1-9СП(к),НАП(к),1601511549
