name,move_sec,length,speed_kmh,move_to_ts_name,self_ts_name,self_busy_sec
1АП(на_IП),46,607.0,47.5043,3СП(к),1АП(к),1605142261
1АП(на_IП),43,607.0,50.8186,3СП(к),1АП(к),1605142910
1АП(на_IП),51,607.0,42.8471,3СП(к),1АП(к),1605144242
ЧГП(на_IIП),22,298.0,48.7636,4СП(к),ЧГП(к),1605145197
ЧГП(на_5П),45,298.0,23.84,4СП(к),ЧГП(к),1605145814
1АП(на_IП),40,607.0,54.63,3СП(к),1АП(к),1605149470
ЧГП(на_IIП),56,298.0,19.1571,4СП(к),ЧГП(к),1605149821
ЧГП(на_IIП),22,298.0,48.7636,4СП(к),ЧГП(к),1605151289
1АП(на_IП),37,607.0,59.0595,3СП(к),1АП(к),1605155589
ЧГП(на_IIП),16,298.0,67.05,4СП(к),ЧГП(к),1605160513
1АП(на_IП),47,607.0,46.4936,3СП(к),1АП(к),1605161471
ЧГП(на_IIП),16,298.0,67.05,4СП(к),ЧГП(к),1605163431
1АП(на_IП),41,607.0,53.2976,3СП(к),1АП(к),1605164641
ЧГП(на_IIП),16,298.0,67.05,4СП(к),ЧГП(к),1605164921
1АП(на_IП),56,607.0,39.0214,3СП(к),1АП(к),1605166878
ЧГП(на_3П),41,298.0,26.1659,4СП(к),ЧГП(к),1605167302
1АП(на_IП),54,607.0,40.4667,3СП(к),1АП(к),1605167848
ЧГП(на_IП),45,298.0,23.84,4СП(к),ЧГП(к),1605169152
1АП(на_IП),81,607.0,26.9778,3СП(к),1АП(к),1605170312
1АП(на_IП),58,607.0,37.6759,3СП(к),1АП(к),1605172163
ЧГП(на_IIП),15,298.0,71.52,4СП(к),ЧГП(к),1605172987
ЧГП(на_IIП),19,298.0,56.4632,4СП(к),ЧГП(к),1605173934
ЧГП(на_IIП),17,298.0,63.1059,4СП(к),ЧГП(к),1605176547
1АП(на_IП),40,607.0,54.63,3СП(к),1АП(к),1605177059
1АП(на_IП),48,607.0,45.525,3СП(к),1АП(к),1605177726
1АП(на_IП),37,607.0,59.0595,3СП(к),1АП(к),1605178483
1АП(на_IП),88,607.0,24.8318,3СП(к),1АП(к),1605179094
1АП(на_IП),39,607.0,56.0308,3СП(к),1АП(к),1605181740
ЧГП(на_IIП),16,298.0,67.05,4СП(к),ЧГП(к),1605182039
1АП(на_IП),40,607.0,54.63,3СП(к),1АП(к),1605185423
ЧГП(на_IIП),16,298.0,67.05,4СП(к),ЧГП(к),1605186560
1АП(на_IП),44,607.0,49.6636,3СП(к),1АП(к),1605186635
1АП(на_IП),51,607.0,42.8471,3СП(к),1АП(к),1605187656
ЧГП(на_IIП),17,298.0,63.1059,4СП(к),ЧГП(к),1605189322
ЧГП(на_IIП),17,298.0,63.1059,4СП(к),ЧГП(к),1605189799
ЧГП(на_IIП),17,298.0,63.1059,4СП(к),ЧГП(к),1605192424
ЧГП(на_IIП),16,298.0,67.05,4СП(к),ЧГП(к),1605194716
1АП(на_IП),39,607.0,56.0308,3СП(к),1АП(к),1605197318
ЧГП(на_IIП),17,298.0,63.1059,4СП(к),ЧГП(к),1605198721
ЧГП(на_IIП),16,298.0,67.05,4СП(к),ЧГП(к),1605201843
ЧГП(на_IIП),15,298.0,71.52,4СП(к),ЧГП(к),1605204303
1АП(на_IП),44,607.0,49.6636,3СП(к),1АП(к),1605205569
1АП(на_IП),40,607.0,54.63,3СП(к),1АП(к),1605206879
ЧГП(на_IIП),20,298.0,53.64,4СП(к),ЧГП(к),1605210579
1АП(на_IП),44,607.0,49.6636,3СП(к),1АП(к),1605210868
ЧГП(на_IIП),16,298.0,67.05,4СП(к),ЧГП(к),1605212658
1АП(на_IП),55,607.0,39.7309,3СП(к),1АП(к),1605212942
1АП(на_5П),87,607.0,25.1172,3СП(к),1АП(к),1605214275
1АП(на_IП),39,607.0,56.0308,3СП(к),1АП(к),1605216271
ЧГП(на_IIП),18,298.0,59.6,4СП(к),ЧГП(к),1605218157
1АП(на_5П),78,607.0,28.0154,3СП(к),1АП(к),1605219294
ЧГП(на_IIП),18,298.0,59.6,4СП(к),ЧГП(к),1605219684
ЧГП(на_IIП),87,298.0,12.331,4СП(к),ЧГП(к),1605220338
ЧГП(на_IIП),55,298.0,19.5055,4СП(к),ЧГП(к),1605221447
1АП(на_IП),37,607.0,59.0595,3СП(к),1АП(к),1605224771
1АП(на_IП),39,607.0,56.0308,3СП(к),1АП(к),1605226031
ЧГП(на_IIП),16,298.0,67.05,4СП(к),ЧГП(к),1605227381
1АП(на_IП),42,607.0,52.0286,3СП(к),1АП(к),1605227923
ЧГП(на_IIП),16,298.0,67.05,4СП(к),ЧГП(к),1605228979
ЧГП(на_IIП),11,298.0,97.5273,4СП(к),ЧГП(к),1605232009
ЧГП(на_IIП),16,298.0,67.05,4СП(к),ЧГП(к),1605233271
ЧГП(на_IIП),16,298.0,67.05,4СП(к),ЧГП(к),1605233971
1АП(на_IП),39,607.0,56.0308,3СП(к),1АП(к),1605234188
ЧГП(на_IIП),16,298.0,67.05,4СП(к),ЧГП(к),1605235180
ЧГП(на_IIП),19,298.0,56.4632,4СП(к),ЧГП(к),1605236137
