who, sect1_name, sect1_speed_kmh, sect1_busy_sec, sect2_name, sect2_speed_kmh, sect2_busy_sec
ЧД_останов_по_2П, ЧД1УП, 42.3529, 1603350749, ЧДП(к), 33.45, 1603350834
ЧД_останов_по_2П, ЧД1УП, 28.125, 1603369174, ЧДП(к), 27.6828, 1603369302
ЧД_останов_по_2П, ЧД1УП, 43.3735, 1603386023, ЧДП(к), 33.45, 1603386106
ЧД_останов_по_2П, ЧД1УП, 27.907, 1603413796, ЧДП(к), 32.112, 1603413925
ЧД_останов_по_2П, ЧД1УП, 47.3684, 1603437147, ЧДП(к), 29.7333, 1603437223
ЧД_останов_по_2П, ЧД1УП, 30.7692, 1603447043, ЧДП(к), 29.7333, 1603447160
ЧД_останов_по_2П, ЧД1УП, 27.2727, 1603461277, ЧДП(к), 36.4909, 1603461409
ЧД_останов_по_2П, ЧД1УП, 37.8947, 1603472412, ЧДП(к), 32.112, 1603472507
ЧД_останов_по_2П, ЧД1УП, 37.8947, 1603523610, ЧДП(к), 30.8769, 1603523705
ЧД_останов_по_2П, ЧД1УП, 46.1538, 1603558760, ЧДП(к), 33.45, 1603558838
ЧД_останов_по_2П, ЧД1УП, 34.9515, 1603565990, ЧДП(к), 40.14, 1603566093
ЧД_останов_по_2П, ЧД1УП, 30.7692, 1603640741, ЧДП(к), 42.2526, 1603640858
ЧД_останов_по_2П, ЧД1УП, 34.9515, 1603645215, ЧДП(к), 28.6714, 1603645318
ЧД_пропуск_по_2П, ЧД1УП, 31.5789, 1603649259, ЧДП(к), 30.8769, 1603649373
ЧД_останов_по_2П, ЧД1УП, 29.5082, 1603655509, ЧДП(к), 29.7333, 1603655631
ЧД_останов_по_2П, ЧД1УП, 40.9091, 1603696347, ЧДП(к), 44.6, 1603696435
ЧД_пропуск_по_2П, ЧД1УП, 30.5085, 1603717569, ЧДП(к), 24.3273, 1603717687
ЧД_пропуск_по_2П, ЧД1УП, 29.5082, 1603723806, ЧДП(к), 22.3, 1603723928
ЧД_останов_по_2П, ЧД1УП, 37.5, 1603731634, ЧДП(к), 34.9043, 1603731730
ЧД_останов_по_2П, ЧД1УП, 23.2258, 1603733203, ЧДП(к), 25.8968, 1603733358
ЧД_останов_по_2П, ЧД1УП, 34.9515, 1603753629, ЧДП(к), 47.2235, 1603753732
ЧД_пропуск_по_2П, ЧД1УП, 30.2521, 1603811339, ЧДП(к), 30.8769, 1603811458
ЧД_останов_по_2П, ЧД1УП, 34.9515, 1603818020, ЧДП(к), 29.7333, 1603818123
ЧД_останов_по_2П, ЧД1УП, 33.9623, 1603900340, ЧДП(к), 42.2526, 1603900446
ЧД_останов_по_2П, ЧД1УП, 44.4444, 1603990752, ЧДП(к), 32.112, 1603990833
ЧД_останов_по_2П, ЧД1УП, 43.3735, 1604041939, ЧДП(к), 32.112, 1604042022
ЧД_пропуск_по_2П, ЧД1УП, 40.0, 1604046648, ЧДП(к), 36.4909, 1604046738
ЧД_пропуск_по_2П, ЧД1УП, 40.9091, 1604049466, ЧДП(к), 30.8769, 1604049554
ЧД_останов_по_2П, ЧД1УП, 41.8605, 1604077190, ЧДП(к), 33.45, 1604077276
ЧД_останов_по_2П, ЧД1УП, 32.1429, 1604137916, ЧДП(к), 27.6828, 1604138028
ЧД_останов_по_2П, ЧД1УП, 33.0275, 1604157714, ЧДП(к), 42.2526, 1604157823
ЧД_останов_по_2П, ЧД1УП, 47.3684, 1604163633, ЧДП(к), 32.112, 1604163709
ЧД_останов_по_2П, ЧД1УП, 42.3529, 1604214734, ЧДП(к), 28.6714, 1604214819
ЧД_пропуск_по_2П, ЧД1УП, 29.7521, 1604219422, ЧДП(к), 30.8769, 1604219543
ЧД_останов_по_2П, ЧД1УП, 30.2521, 1604235973, ЧДП(к), 34.9043, 1604236092
ЧД_останов_по_2П, ЧД1УП, 43.9024, 1604301148, ЧДП(к), 30.8769, 1604301230
ЧД_пропуск_по_2П, ЧД1УП, 26.4706, 1604340318, ЧДП(к), 33.45, 1604340454
ЧД_останов_по_2П, ЧД1УП, 43.9024, 1604422787, ЧДП(к), 27.6828, 1604422869
ЧД_останов_по_2П, ЧД1УП, 33.6449, 1604659955, ЧДП(к), 30.8769, 1604660062
ЧД_останов_по_2П, ЧД1УП, 31.3043, 1604686002, ЧДП(к), 30.8769, 1604686117
ЧД_пропуск_по_2П, ЧД1УП, 25.1748, 1604737596, ЧДП(к), 30.8769, 1604737739
ЧД_пропуск_по_2П, ЧД1УП, 24.4898, 1604758440, ЧДП(к), 32.112, 1604758587
ЧД_останов_по_2П, ЧД1УП, 43.3735, 1604819526, ЧДП(к), 30.8769, 1604819609
ЧД_останов_по_2П, ЧД1УП, 37.1134, 1604854790, ЧДП(к), 29.7333, 1604854887
ЧД_останов_по_2П, ЧД1УП, 36.0, 1604868361, ЧДП(к), 50.175, 1604868461
ЧД_останов_по_2П, ЧД1УП, 44.4444, 1604905902, ЧДП(к), 38.2286, 1604905983
ЧД_останов_по_2П, ЧД1УП, 39.1304, 1604941220, ЧДП(к), 27.6828, 1604941312
ЧД_останов_по_2П, ЧД1УП, 42.3529, 1604992352, ЧДП(к), 33.45, 1604992437
ЧД_останов_по_2П, ЧД1УП, 40.9091, 1605078810, ЧДП(к), 36.4909, 1605078898
ЧД_останов_по_2П, ЧД1УП, 27.2727, 1605120578, ЧДП(к), 28.6714, 1605120710
ЧД_пропуск_по_2П, ЧД1УП, 24.1611, 1605193422, ЧДП(к), 30.8769, 1605193571
ЧД_останов_по_2П, ЧД1УП, 46.7532, 1605200413, ЧДП(к), 30.8769, 1605200490
ЧД_пропуск_по_2П, ЧД1УП, 36.7347, 1605204522, ЧДП(к), 30.8769, 1605204620
ЧД_останов_по_2П, ЧД1УП, 40.9091, 1605251608, ЧДП(к), 26.76, 1605251696
ЧД_останов_по_2П, ЧД1УП, 37.8947, 1605286824, ЧДП(к), 42.2526, 1605286919
ЧД_останов_по_2П, ЧД1УП, 43.3735, 1605373246, ЧДП(к), 36.4909, 1605373329
ЧД_останов_по_2П, ЧД1УП, 35.6436, 1605459696, ЧДП(к), 30.8769, 1605459797
ЧД_останов_по_2П, ЧД1УП, 31.3043, 1605528800, ЧДП(к), 40.14, 1605528915
